FID,id_objeto,nome,geometriaaproximada,nomeabrev,largura,extensao,operacional,situacaofisica,homologacao,tipopista,usopista,revestimento,geom
BCIM_Pista_Ponto_Pouso_P.36847,36847,Uapui-Cachoeira,Não,,30,900,Sim,Construída,Sim,Pista de pouso,Público,Piçarra,POINT (-69.20073065728688 1.216338394041958)
BCIM_Pista_Ponto_Pouso_P.36849,36849,Surucuru,Não,,30,1080,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-63.646388889259924 2.8352777773494724)
BCIM_Pista_Ponto_Pouso_P.36861,36861,Bartolomeu Gusmão,Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.14027777764229 -21.804444443352935)
BCIM_Pista_Ponto_Pouso_P.36867,36867,Piloto Osvaldo Marques Dias,Não,,30,2500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-56.105000000142155 -9.866388888571034)
BCIM_Pista_Ponto_Pouso_P.36869,36869,Estadual Dario Guarita,Não,,35,2120,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.42638888868478 -21.144166665528772)
BCIM_Pista_Ponto_Pouso_P.36879,36879,Chafei Amsei (SBBT),Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.595833333247946 -20.585555554566238)
BCIM_Pista_Ponto_Pouso_P.36895,36895,Serafim Enoss Bertaso,Não,,45,2063,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.66194444373064 -27.133888887042648)
BCIM_Pista_Ponto_Pouso_P.36901,36901,Diomício Freitas,Não,,30,1488,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.42138888824711 -28.724444442589373)
BCIM_Pista_Ponto_Pouso_P.36909,36909,Regional Hugo Cantergiani,Não,,30,1670,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.18972222144689 -29.195555553575055)
BCIM_Pista_Ponto_Pouso_P.36931,36931,Coronel Altino Machado,Não,,30,1400,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-41.98609299652685 -18.896969274097398)
BCIM_Pista_Ponto_Pouso_P.36933,36933,Guaratinguetá,Não,,30,1551,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-45.204444444376854 -22.791666665616344)
BCIM_Pista_Ponto_Pouso_P.36949,36949,Belém - Brigadeiro Protásio de Oliveira,Não,,30,1106,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.46083333419273 -1.4144444452465694)
BCIM_Pista_Ponto_Pouso_P.36963,36963,Correia Pinto,Não,,30,1530,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.28166666604339 -27.782222220421797)
BCIM_Pista_Ponto_Pouso_P.36967,36967,Governador José Richa,Não,,45,2100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.136666666292086 -23.330277776383195)
BCIM_Pista_Ponto_Pouso_P.36973,36973,João Correa da Rocha,Não,,45,2000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.13833333399694 -5.367777778223968)
BCIM_Pista_Ponto_Pouso_P.36975,36975,Minaçu,Não,,30,1275,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.20055555586365 -13.550555555292187)
BCIM_Pista_Ponto_Pouso_P.36979,36979,Sílvio Name Júnior,Não,,45,2100,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.01222222179133 -23.47944444299174)
BCIM_Pista_Ponto_Pouso_P.36983,36983,Frank Miloye Milenkovich,Não,,35,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.926944444201496 -22.195555554335762)
BCIM_Pista_Ponto_Pouso_P.36989,36989,Campo de Marte,Não,,45,1600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-46.63444444427551 -23.507499998806693)
BCIM_Pista_Ponto_Pouso_P.36999,36999,Embaixador Walter Moreira Salles,Não,,30,1250,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-46.566111111042105 -21.83777777676022)
BCIM_Pista_Ponto_Pouso_P.37015,37015,Regional de Rio Grande,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.16333333227878 -32.08166666436918)
BCIM_Pista_Ponto_Pouso_P.37017,37017,Santos Dumont,Não,,42,1323,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.16249871341286 -22.91005030345354)
BCIM_Pista_Ponto_Pouso_P.37025,37025,Santa Maria,Não,,45,2700,Sim,Construída,Sim,Pista de pouso,Público,Concreto,POINT (-53.692222221256166 -29.71083333119299)
BCIM_Pista_Ponto_Pouso_P.37027,37027,Professor Eriberto Manoel Reino,Não,,35,1640,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-49.40472222208642 -20.816111110057754)
BCIM_Pista_Ponto_Pouso_P.37033,37033,Luís Dal Canalle Filho,Não,,30,1670,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-53.6966666660613 -24.685277776122984)
BCIM_Pista_Ponto_Pouso_P.37041,37041,Telêmaco Borba (SBTL*),Não,,30,1800,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.65212774028047 -24.316426551930235)
BCIM_Pista_Ponto_Pouso_P.37059,37059,Brigadeiro Camarão,Não,,30,2600,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-60.09727506226446 -12.694175920788059)
BCIM_Pista_Ponto_Pouso_P.37061,37061,Eurico de Aguiar Salles,Não,,45,1750,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-40.28638888912028 -20.258055555001565)
BCIM_Pista_Ponto_Pouso_P.37081,37081,Tancredo de Almeida Neves,Não,,30,1000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.46749999978226 -22.93666666544312)
BCIM_Pista_Ponto_Pouso_P.37091,37091,Estadual de Campinas - Amarais,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.108055555404206 -22.859166665517385)
BCIM_Pista_Ponto_Pouso_P.37101,37101,Presidente Bernardes,Não,,18,600,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-51.599444444129055 -21.996111109828185)
BCIM_Pista_Ponto_Pouso_P.37103,37103,Aparecido O. da Silva,Não,,30,1400,Sim,Construída,Sim,Pista de pouso,Público,Terra,POINT (-48.70638888871188 -22.069166665520175)
BCIM_Pista_Ponto_Pouso_P.37111,37111,Mirassol,Não,,30,1000,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-49.48611111097203 -20.807222221165688)
BCIM_Pista_Ponto_Pouso_P.37139,37139,Nelson Garófalo,Não,,20,1000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-48.57611111090274 -22.69611110990683)
BCIM_Pista_Ponto_Pouso_P.37141,37141,Aeroclube de Nova Iguaçu,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.46472222222358 -22.746666665703952)
BCIM_Pista_Ponto_Pouso_P.37145,37145,Pedro Morganti,Não,,30,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-47.619410496487745 -22.7106192234348)
BCIM_Pista_Ponto_Pouso_P.37207,37207,Paulino Ribeiro de Andrade,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-51.38388888865005 -20.9258333321693)
BCIM_Pista_Ponto_Pouso_P.37215,37215,Edra do Brasil,Não,,20,600,Sim,Construída,Sim,Pista de pouso,Desconhecido,Grama,POINT (-47.701666666513596 -22.44027777664264)
BCIM_Pista_Ponto_Pouso_P.37227,37227,Geraldo Moacir Bordoni,Não,,18,1010,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-52.14784176081566 -21.78003533534376)
BCIM_Pista_Ponto_Pouso_P.37241,37241,Coronel Aviador Carlos Orleans Guimarães,Não,,25,1000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.21388888874638 -20.276666665627516)
BCIM_Pista_Ponto_Pouso_P.37331,37331,Municipal de São João da Boa Vista,Não,,30,1250,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-46.84083333324242 -22.0172222211727)
BCIM_Pista_Ponto_Pouso_P.37367,37367,Jeová Gomes Corrêa,Não,,20,1200,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-39.12063470273149 -8.736667591796277)
BCIM_Pista_Ponto_Pouso_P.37395,37395,Armando Natali,Não,,23,750,Sim,Construída,Sim,Pista de pouso,Público,Terra,POINT (-48.3524999998655 -21.62305555447223)
BCIM_Pista_Ponto_Pouso_P.37439,37439,Saquarema,Não,,40,905,Sim,Construída,Sim,Pista de pouso,Desconhecido,Grama,POINT (-42.508959817471286 -22.926916303883452)
BCIM_Pista_Ponto_Pouso_P.37555,37555,Gastão Madeira,Não,,30,940,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-45.07614719016178 -23.441443989770864)
BCIM_Pista_Ponto_Pouso_P.37579,37579,Domingos Pignatari,Não,,30,1500,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-50.00249999985701 -20.457222221175346)
BCIM_Pista_Ponto_Pouso_P.37631,37631,Limeira,Não,,20,875,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-47.41194444429459 -22.603888887751076)
BCIM_Pista_Ponto_Pouso_P.37637,37637,Fazenda Santa Maria,Não,,30,1150,Sim,Construída,Sim,Pista de pouso,Desconhecido,Grama,POINT (-49.411111110904635 -22.00555555438069)
BCIM_Pista_Ponto_Pouso_P.37655,37655,Regional da Zona da Mata,Não,,45,2525,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-43.17342492006966 -21.5135363315881)
BCIM_Pista_Ponto_Pouso_P.37659,37659,Lêda Mello Resende,Não,,18,1040,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-45.49416666666734 -21.371944443527187)
BCIM_Pista_Ponto_Pouso_P.37677,37677,Auriflama,Não,,20,900,Sim,Construída,Sim,Pista de pouso,Desconhecido,Terra,POINT (-50.531666666481364 -20.74194444334199)
BCIM_Pista_Ponto_Pouso_P.37851,37851,Municipal de Bom Futuro,Não,,20,1000,Sim,Construída,Sim,Pista de pouso,Público,Asfalto/Concreto Asfáltico,POINT (-55.942222222201124 -13.037222221606585)
BCIM_Pista_Ponto_Pouso_P.37995,37995,SESC Pantanal,Não,,23,1200,Sim,Construída,Sim,Pista de pouso,Desconhecido,Asfalto/Concreto Asfáltico,POINT (-56.421666666420855 -16.49694444346278)
